"name","race"
"Aragorn","Man"
"Arwen","Elf"
"Elrond","Elf"
"Celebrían","Elf"
"Elrohir","Elf"
"Elladan","Elf"
"Turgon","Elf"
"Elenwë","Elf"
"Manwë","Ainur"
"Ulmo","Ainur"
"Aulë","Ainur"
"Oromë","Ainur"
"Mandos","Ainur"
"Irmo","Ainur"
"Tulkas","Ainur"
"Varda","Ainur"
"Yavanna","Ainur"
"Nienna","Ainur"
"Estë","Ainur"
"Vairë","Ainur"
"Vána","Ainur"
"Nessa","Ainur"
"Ingwë","Elf"
"Ingil","Elf"
"Indis","Elf"
"Finwë","Elf"
"Míriel","Elf"
"Fingolfin","Elf"
"Idril","Elf"
"Tuor","Man"
"Eärendil","Elf"
"Elwing","Elf"
"Galadriel","Elf"
"Celeborn","Elf"
"Galadhon","Elf"
"Elmo","Elf"
"Galathil","Elf"
"Elros","Elf"
"Vardamir","Man"
"Tindómiel","Man"
"Manwedil","Man"
"Atanalcar","Man"
"Tar-Amandil","Man"
"Vardilmë","Man"
"Aulendil","Man"
"Nolondil","Man"
"Tar-Elendil","Man"
"Marien","Man"
"Eärendur","Man"
"Caliondo","Man"
"Malantur","Man"
"Yávien","Man"
"Oromendil","Man"
"Axantur","Man"
"Cemendur","Man"
"Ardamir","Man"
"Lindissë","Man"
"Hallatan","Man"
"Írildë","Man"
"Finarfin","Elf"
"Eärwen","Elf"
"Olwë","Elf"
"Aegnor","Elf"
"Angrod","Elf"
"Orodreth","Elf"
"Finrod","Elf"
"Amarië","Elf"
"Finduilas","Elf"
"Gil-galad","Elf"
"Fingon","Elf"
"Aredhel","Elf"
"Eöl","Elf"
"Maeglin","Elf"
"Fëanor","Elf"
"Nerdanel","Elf"
"Curufin","Elf"
"Maedhros","Elf"
"Maglor","Elf"
"Celegorm","Elf"
"Caranthir","Elf"
"Amras","Elf"
"Amrod","Elf"
"Celebrimbor","Elf"
"Nimloth","Elf"
"Dior","Elf"
"Beren","Man"
"Lúthien","Elf"
"Thingol","Elf"
"Melian","Ainur"
"Daeron","Elf"
"Bëor","Man"
"Baran","Man"
"Boron","Man"
"Boromir","Man"
"Bregor","Man"
"Barahir","Man"
"Bregolas","Man"
"Belen","Man"
"Beldir","Man"
"Belemir","Man"
"Adanel","Man"
"Beren","Man"
"Emeldir","Man"
"Baranor","Man"
"Bereg","Man"
"Andreth","Man"
"Beril","Man"
"Belegor","Man"
"Hirwen","Man"
"Arachon","Man"
"Gilwen","Man"
"Bregil","Man"
"Marach","Man"
"Malach","Man"
"Magor","Man"
"Hathol","Man"
"Hador","Man"
"Glóredhel","Man"
"Haldir","Man"
"Gildis","Man"
"Halmir","Man"
"Hareth","Man"
"Galdor","Man"
"Huor","Man"
"Rían","Man"
"Haldan","Man"
"Haldar","Man"
"Haldad","Man"
"Belegund","Man"
"Haleth","Man"
"Handir","Man"
"Beldis","Man"
"Brandir","Man"
"Hundar","Man"
"Hunleth","Man"
"Hundad","Man"
"Hardang","Man"
"Húrin","Man"
"Morwen","Man"
"Túrin","Man"
"Nienor","Man"
"Lalaith","Man"
"Baragund","Man"
"Beleth","Man"
"Hiril","Man"
"Enthor","Man"
"Meleth","Man"
"Agathor","Man"
"Hunthor","Man"
"Manthor","Man"
"Eluréd","Elf"
"Elurín","Elf"
"Imlach","Man"
"Amlach","Man"
"Durin","Dwarf"
"Durin","Dwarf"
"Náin","Dwarf"
"Thráin","Dwarf"
"Thorin","Dwarf"
"Glóin","Dwarf"
"Óin","Dwarf"
"Náin","Dwarf"
"Dáin","Dwarf"
"Grór","Dwarf"
"Náin","Dwarf"
"Dáin","Dwarf"
"Thorin","Dwarf"
"Durin","Dwarf"
"Borin","Dwarf"
"Farin","Dwarf"
"Gróin","Dwarf"
"Óin","Dwarf"
"Glóin","Dwarf"
"Gimli","Dwarf"
"Fundin","Dwarf"
"Balin","Dwarf"
"Dwalin","Dwarf"
"Thrór","Dwarf"
"Frór","Dwarf"
"Thráin","Dwarf"
"Frerin","Dwarf"
"Thorin","Dwarf"
"Dís","Dwarf"
"Fíli","Dwarf"
"Kíli","Dwarf"
"Silmariën","Man"
"Elatan","Man"
"Valandil","Man"
"Eärendur","Man"
"Númendil","Man"
"Amandil","Man"
"Elendil","Man"
"Isildur","Man"
"Valandil","Man"
"Eldacar","Man"
"Arantar","Man"
"Tarcil","Man"
"Tarondor","Man"
"Valandur","Man"
"Elendur","Man"
"Eärendur","Man"
"Amlaith","Man"
"Beleg","Man"
"Mallor","Man"
"Celepharn","Man"
"Celebrindor","Man"
"Malvegil","Man"
"Argeleb","Man"
"Morgoth","Ainur"
"Frodo","Hobbit"
"Arveleg","Man"
"Araphor","Man"
"Argeleb","Man"
"Arvegil","Man"
"Arveleg","Man"
"Araval","Man"
"Araphant","Man"
"Arvedui","Man"
"Fíriel","Man"
"Aranarth","Man"
"Arahael","Man"
"Aranuir","Man"
"Aravir","Man"
"Aragorn","Man"
"Araglas","Man"
"Arahad","Man"
"Aragost","Man"
"Aravorn","Man"
"Arahad","Man"
"Arassuil","Man"
"Arathorn","Man"
"Argonui","Man"
"Arador","Man"
"Arathorn","Man"
"Gilraen","Man"
"Dírhael","Man"
"Ivorwen","Man"
"Gilbarcid","Man"
"Anárion","Man"
"Cemendur","Man"
"Eärendil","Man"
"Anardil","Man"
"Ostoher","Man"
"Rómendacil","Man"
"Turambar","Man"
"Atanatar","Man"
"Siriondil","Man"
"Tarannon","Man"
"Berúthiel","Man"
"Tarciryan","Man"
"Thorondur","Man"
"Aldarion","Man"
"Turambar","Man"
"Ciryon","Man"
"Tarandil","Man"
"Calimendi","Man"
"Tardil","Man"
"Tarostar","Man"
"Minalcar","Man"
"Ostoher","Man"
"Orodreth","Man"
"Eldathorn","Man"
"Eldarion","Man"
"Forodacil","Man"
"Eärnil","Man"
"Ciryandil","Man"
"Hyarmendacil","Man"
"Atanatar","Man"
"Narmacil","Man"
"Calmacil","Man"
"Rómendacil","Man"
"Valacar","Man"
"Vidumavi","Man"
"Eldacar","Man"
"Aldamir","Man"
"Ornendil","Man"
"Hyarmendacil","Man"
"Minardil","Man"
"Telemnar","Man"
"Minastan","Man"
"Tarondor","Man"
"Telumehtar","Man"
"Narmacil","Man"
"Calimehtar","Man"
"Ondoher","Man"
"Faramir","Man"
"Artamir","Man"
"Minohtar","Man"
"Arciryas","Man"
"Calimmacil","Man"
"Siriondil","Man"
"Eärnil","Man"
"Eärnur","Man"
"Vidugavia","Man"
"Marhari","Man"
"Marhwini","Man"
"Forthwini","Man"
"Frumgar","Man"
"Fram","Man"
"Léod","Man"
"Eorl","Man"
"Brego","Man"
"Aldor","Man"
"Baldor","Man"
"Eofor","Man"
"Fréa","Man"
"Fréawine","Man"
"Goldwine","Man"
"Fréca","Man"
"Wulf","Man"
"Déor","Man"
"Gram","Man"
"Helm","Man"
"Hild","Man"
"Háma","Man"
"Haleth","Man"
"Fréalaf","Man"
"Brytta","Man"
"Walda","Man"
"Folca","Man"
"Folcwine","Man"
"Fengel","Man"
"Fastred","Man"
"Folcred","Man"
"Thengel","Man"
"Morwen","Man"
"Théoden","Man"
"Elfhild","Man"
"Théodwyn","Man"
"Éomund","Man"
"Théodred","Man"
"Eomer","Man"
"Lothíriel","Man"
"Elfwine","Man"
"Éowyn","Man"
"Faramir","Man"
"Elboron","Man"
"Barahir","Man"
"Eldarion","Man"
"Boromir","Man"
"Denethor","Man"
"Finduilas","Man"
"Ecthelion","Man"
"Turgon","Man"
"Túrin","Man"
"Thorondir","Man"
"Belecthor","Man"
"Beregond","Man"
"Beren","Man"
"Egalmoth","Man"
"Morwen","Man"
"Ecthelion","Man"
"Orodreth","Man"
"Belecthor","Man"
"Húrin","Man"
"Hallas","Man"
"Cirion","Man"
"Boromir","Man"
"Denethor","Man"
"Rían","Man"
"Dior","Man"
"Barahir","Man"
"Hador","Man"
"Túrin","Man"
"Húrin","Man"
"Belegorn","Man"
"Herion","Man"
"Eradan","Man"
"Mardil","Man"
"Vorondil","Man"
"Pelendur","Man"
"Húrin","Man"
"Imrahil","Man"
"Ivriniel","Man"
"Adrahil","Man"
"Erchirion","Man"
"Amrothos","Man"
"Elphir","Man"
"Angelimir","Man"
"Aglahad","Man"
"Galador","Elf"
"Gilmith","Elf"
"Imrazôr","Man"
"Mithrellas","Elf"
"Adrahil","Man"
"Tar-Meneldur","Man"
"Almarian","Man"
"Vëantur","Man"
"Tar-Aldarion","Man"
"Erendis","Man"
"Isilmë","Man"
"Beregar","Man"
"Tar-Ancalimë","Man"
"Hallacar","Man"
"Tar-Anárion","Man"
"Nessanië","Man"
"Tar-Súrion","Man"
"Tar-Telperiën","Man"
"Isilmo","Man"
"Tar-Minastir","Man"
"Tar-Ciryatan","Man"
"Tar-Atanamir","Man"
"Tar-Ancalimon","Man"
"Tar-Telemmaitë","Man"
"Tar-Vanimeldë","Man"
"Herulcamo","Man"
"Tar-Alcarin","Man"
"Tar-Calmacil","Man"
"Tar-Ardamin","Man"
"Gimilzagar","Man"
"Ar-Adûnakhôr","Man"
"Ar-Zimrathôn","Man"
"Ar-Sakalthôr","Man"
"Ar-Gimilzôr","Man"
"Inzilbêth","Man"
"Tar-Palantir","Man"
"Gimilkhâd","Man"
"Tar-Míriel","Man"
"Ar-Pharazôn","Man"
"Lindórië","Man"
"Oropher","Elf"
"Thranduil","Elf"
"Legolas","Elf"
"Bard","Man"
"Brand","Man"
"Bain","Man"
"Bard","Man"
"Girion","Man"
"Heden","Man"
"Eoh","Man"
"Eriol","Man"
"Cwén","Man"
"Naimi","Man"
"Heorrenda","Man"
"Horsa","Man"
"Hengest","Man"
"Beorn","Man"
"Grimbeorn","Man"
"Gothmog","Ainur"
"Telimektar","Ainur"
"Ossë","Ainur"
"Uinen","Ainur"
"Isengrim","Hobbit"
"Isumbras","Hobbit"
"Ferumbras","Hobbit"
"Fortinbras","Hobbit"
"Gerontius","Hobbit"
"Adamanta","Hobbit"
"Bandobras","Hobbit"
"Isumbras","Hobbit"
"Fortinbras","Hobbit"
"Ferumbras","Hobbit"
"Hildigard","Hobbit"
"Isengrim","Hobbit"
"Isembold","Hobbit"
"Hildifons","Hobbit"
"Isembard","Hobbit"
"Flambard","Hobbit"
"Adelard","Hobbit"
"Reginard","Hobbit"
"Everard","Hobbit"
"Hildibrand","Hobbit"
"Sigismond","Hobbit"
"Rosamunda","Hobbit"
"Odovacar","Hobbit"
"Fredegar","Hobbit"
"Estella","Hobbit"
"Donnamira","Hobbit"
"Hugo","Hobbit"
"Belladonna","Hobbit"
"Bungo","Hobbit"
"Bilbo","Hobbit"
"Hildigrim","Hobbit"
"Rosa","Hobbit"
"Adalgrim","Hobbit"
"Paladin","Hobbit"
"Eglantine","Hobbit"
"Peregrin","Hobbit"
"Diamond","Hobbit"
"Pervinca","Hobbit"
"Pimpernel","Hobbit"
"Pearl","Hobbit"
"Faramir","Hobbit"
"Goldilocks","Hobbit"
"Mirabella","Hobbit"
"Gorbadoc","Hobbit"
"Primula","Hobbit"
"Drogo","Hobbit"
"Mungo","Hobbit"
"Laura","Hobbit"
"Balbo","Hobbit"
"Berylla","Hobbit"
"Pansy","Hobbit"
"Fastolph","Hobbit"
"Belba","Hobbit"
"Rudigar","Hobbit"
"Longo","Hobbit"
"Camellia","Hobbit"
"Otho","Hobbit"
"Lobelia","Hobbit"
"Lotho","Hobbit"
"Sancho","Hobbit"
"Linda","Hobbit"
"Bodo","Hobbit"
"Odo","Hobbit"
"Olo","Hobbit"
"Ponto","Hobbit"
"Mimosa","Hobbit"
"Polo","Hobbit"
"Posco","Hobbit"
"Ponto","Hobbit"
"Gilly","Hobbit"
"Porto","Hobbit"
"Peony","Hobbit"
"Milo","Hobbit"
"Angelica","Hobbit"
"Moro","Hobbit"
"Myrtle","Hobbit"
"Minto","Hobbit"
"Mosco","Hobbit"
"Dora","Hobbit"
"Dudo","Hobbit"
"Daisy","Hobbit"
"Griffo","Hobbit"
"Fosco","Hobbit"
"Largo","Hobbit"
"Tanta","Hobbit"
"Lily","Hobbit"
"Togo","Hobbit"
"Samwise","Hobbit"
"Rose","Hobbit"
"Elanor","Hobbit"
"Fastred","Hobbit"
"Frodo","Hobbit"
"Holfast","Hobbit"
"Harding","Hobbit"
"Rose","Hobbit"
"Merry","Hobbit"
"Pippin","Hobbit"
"Hamfast","Hobbit"
"Daisy","Hobbit"
"Primrose","Hobbit"
"Bilbo","Hobbit"
"Ruby","Hobbit"
"Robin","Hobbit"
"Tolman","Hobbit"
"Hamfast","Hobbit"
"Bell","Hobbit"
"Daisy","Hobbit"
"Hamson","Hobbit"
"Halfred","Hobbit"
"May","Hobbit"
"Hobson","Hobbit"
"Hob","Hobbit"
"Rowan","Hobbit"
"Wiseman","Hobbit"
"Hamfast","Hobbit"
"May","Hobbit"
"Andwise","Hobbit"
"Anson","Hobbit"
"Halfred","Hobbit"
"Halfred","Hobbit"
"Holman","Hobbit"
"Erling","Hobbit"
"Hending","Hobbit"
"Rose","Hobbit"
"Holman","Hobbit"
"Cotman","Hobbit"
"Carl","Hobbit"
"Cottar","Hobbit"
"Holman","Hobbit"
"Tolman","Hobbit"
"Lily","Hobbit"
"Wilcome","Hobbit"
"Marigold","Hobbit"
"Tolman","Hobbit"
"Wilcome","Hobbit"
"Bowman","Hobbit"
"Carl","Hobbit"
"Saruman","Ainur"
"Gandalf","Ainur"
"Radagast","Ainur"
"Eönwë","Ainur"
"Sauron","Ainur"
"Arien","Ainur"
"Urwen","Ainur"
"Tilion","Ainur"
"Silmo","Ainur"
"Alatar","Ainur"
"Pallando","Ainur"
"Mí­m","Dwarf"
"Ibun","Dwarf"
"Khím","Dwarf"
"Bór","Man"
"Borlad","Man"
"Borthand","Man"
"Borlach","Man"
"Marmadoc","Hobbit"
"Adaldrida","Hobbit"
"Madoc","Hobbit"
"Hanna","Hobbit"
"Gormadoc","Hobbit"
"Malva","Hobbit"
"Gorhendad","Hobbit"
"Sadoc","Hobbit"
"Salvia","Hobbit"
"Gundabald","Hobbit"
"Rorimac","Hobbit"
"Menegilda","Hobbit"
"Saradoc","Hobbit"
"Esmeralda","Hobbit"
"Meriadoc","Hobbit"
"Merimac","Hobbit"
"Berilac","Hobbit"
"Gundolpho","Hobbit"
"Alfrida","Hobbit"
"Rudolph","Hobbit"
"Cora","Hobbit"
"Gundahar","Hobbit"
"Dina","Hobbit"
"Buffo","Hobbit"
"Ivy","Hobbit"
"Briffo","Hobbit"
"Basso","Hobbit"
"Herugar","Hobbit"
"Jessamine","Hobbit"
"Otto","Hobbit"
"Lavender","Hobbit"
"Bosco","Hobbit"
"Imin","Elf"
"Iminyë","Elf"
"Tata","Elf"
"Tatië","Elf"
"Enel","Elf"
"Enelyë","Elf"
"Filibert","Hobbit"
"Poppy","Hobbit"
"Falco","Hobbit"
"Bingo","Hobbit"
"Chica","Hobbit"
"Adalbert","Hobbit"
"Gerda","Hobbit"
"Gruffo","Hobbit"
"Uffo","Hobbit"
"Sapphira","Hobbit"
"Rudibert","Hobbit"
"Amethyst","Hobbit"
"Adalgar","Hobbit"
"Haldir","Elf"
"Rúmil","Elf"
"Orophin","Elf"
"Ithilbor","Elf"
"Saeros","Elf"
"Ciryon","Man"
"Aratan","Man"
"Elendur","Man"
"Findis","Elf"
"Irimë","Elf"
"Glorfindel","Elf"
"Argon","Elf"
"Telchar","Dwarf"
"Gamil","Dwarf"
"Azaghâl","Dwarf"
"Fangluin","Dwarf"
"Flói","Dwarf"
"Lóni","Dwarf"
"Frár","Dwarf"
"Náli","Dwarf"
"Nár","Dwarf"
